imdb_rating,metascore,tomato,title,year,viewLOVE,meta,award,nomination
57,40,27,Fantastic Four,2005,30,average,4 wins & 12 nominations.,12
62,56,65,Fever Pitch,2005,-3,average,9 nominations.,9
73,62,74,Finding Forrester,2000,-1,good,5 wins & 13 nominations.,13
55,43,38,Firehouse Dog,2007,17,average,2 nominations.,2
70,57,61,Flash of Genius,2008,9,average,1 win.,NA
76,79,92,The Fly,1986,-16,good,Won 1 Oscar. Another 6 wins & 10 nominations.,11
68,,87,Fly Away Home,1996,-19,na,Nominated for 1 Oscar. Another 5 wins & 6 nominations.,7
65,,63,Foolproof,2003,2,na,N/A,NA
61,37,32,Fools Rush In,1997,29,bad,3 nominations.,3
57,37,41,Freddy vs. Jason,2003,16,bad,2 wins & 11 nominations.,11
50,,43,Frenemies,2012,7,na,3 nominations.,3
73,67,70,Frequency,2000,3,good,Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,8
47,45,39,Full Frontal,2002,8,average,1 nomination.,1
54,45,16,Get Rich or Die Tryin',2005,38,average,6 wins & 3 nominations.,3
68,70,89,Ginger Snaps,2000,-21,good,10 wins & 9 nominations.,9
23,14,6,Glitter,2001,17,bad,3 wins & 10 nominations.,10
48,24,4,Godsend,2004,44,bad,N/A,NA
83,70,97,Good Will Hunting,1997,-14,good,Won 2 Oscars. Another 22 wins & 61 nominations.,63
76,,89,The Gospel of John,2014,-13,na,N/A,NA
59,31,29,Gossip,2000,30,bad,3 nominations.,3
48,24,0,Gotti,2018,48,bad,7 nominations.,7
66,81,91,Hairspray,2007,-25,good,Nominated for 3 Golden Globes. Another 21 wins & 41 nominations.,41
67,16,29,Half Baked,1998,38,bad,N/A,NA
71,64,74,Harold & Kumar Go to White Castle,2004,-3,good,3 nominations.,3
77,85,92,Hedwig and the Angry Inch,2001,-15,good,Nominated for 1 Golden Globe. Another 28 wins & 32 nominations.,32
62,,49,The Heist,1989,13,na,N/A,NA
74,81,87,A History of Violence,2005,-13,good,Nominated for 2 Oscars. Another 37 wins & 81 nominations.,81
65,62,68,Hollywoodland,2006,-3,good,Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.,7
67,59,50,A Home at the End of the World,2004,17,average,1 win & 5 nominations.,5
54,37,21,Honey,2003,33,bad,8 nominations.,8
56,45,27,How to Deal,2003,29,average,N/A,NA
64,45,42,How to Lose a Guy in 10 Days,2003,22,average,1 win & 8 nominations.,8
76,74,83,The Hurricane,1999,-7,good,Nominated for 1 Oscar. Another 7 wins & 17 nominations.,18
60,55,52,Ice Princess,2005,8,average,N/A,NA
58,46,33,The In-Laws,2003,25,average,N/A,NA
62,48,95,In the Shadow of the Moon,2019,-33,average,1 nomination.,1
63,53,39,In Too Deep,1999,24,average,2 wins.,NA
67,61,67,The Incredible Hulk,2008,0,good,1 win & 8 nominations.,8
64,62,57,The Interpreter,2005,7,good,3 wins & 2 nominations.,2
73,69,85,It,2017,-12,good,8 wins & 49 nominations.,49
59,45,8,It Takes Two,1995,51,average,1 win & 3 nominations.,3
67,,100,I've Heard the Mermaids Singing,1987,-33,na,3 wins & 7 nominations.,7
44,25,20,Jason X,2001,24,bad,1 nomination.,1
66,,75,Jerry and Tom,1998,-9,na,1 nomination.,1
71,30,23,John Q,2002,48,bad,2 wins & 8 nominations.,8
57,33,12,Johnny Mnemonic,1995,45,bad,2 wins & 3 nominations.,3
61,35,15,Jumper,2008,46,bad,2 wins & 4 nominations.,4
67,58,61,K-19: The Widowmaker,2002,6,average,1 win & 2 nominations.,2
80,54,70,Kal ho naa ho,2003,10,average,40 wins & 41 nominations.,41
63,60,69,Keeping the Faith,2000,-6,good,2 wins & 6 nominations.,6
76,66,76,Kick-Ass,2010,0,good,19 wins & 61 nominations.,61
65,41,32,Kick-Ass 2,2013,33,average,1 win & 7 nominations.,7
54,,36,The Kidnapping of the President,1980,18,na,2 nominations.,2
69,55,42,Kids in the Hall: Brain Candy,1996,27,average,5 nominations.,5
52,,37,Kismat Konnection,2008,15,na,N/A,NA
65,63,80,Kit Kittredge: An American Girl,2008,-15,good,2 wins & 5 nominations.,5
61,30,21,Knockaround Guys,2001,40,bad,2 nominations.,2
52,22,11,The Ladies Man,2000,41,bad,1 nomination.,1
62,71,74,Land of the Dead,2005,-12,good,2 wins & 15 nominations.,15
60,,41,Let's All Hate Toronto,2007,19,na,N/A,NA
53,,38,Lie with Me,2005,15,na,1 win & 2 nominations.,2
